"","City..Ville","Latitude..Latitude","Longitude..Longitude"
"306","Metro Van - New Westminster",49.227045,-122.894487
"307","Metro Van - New Westminster",49.227045,-122.894487
"308","Metro Van - New Westminster",49.227045,-122.894487
"309","Metro Van - New Westminster",49.227045,-122.894487
"310","Metro Van - New Westminster",49.227045,-122.894487
"311","Metro Van - New Westminster",49.227045,-122.894487
"312","Metro Van - New Westminster",49.227045,-122.894487
"313","Metro Van - New Westminster",49.227045,-122.894487
"314","Metro Van - New Westminster",49.227045,-122.894487
"315","Metro Van - New Westminster",49.227045,-122.894487
"316","Metro Van - New Westminster",49.227045,-122.894487
"317","Metro Van - New Westminster",49.227045,-122.894487
"318","Metro Van - New Westminster",49.227045,-122.894487
"319","Metro Van - New Westminster",49.227045,-122.894487
"320","Metro Van - New Westminster",49.227045,-122.894487
"321","Metro Van - New Westminster",49.227045,-122.894487
"322","Metro Van - New Westminster",49.227045,-122.894487
"323","Metro Van - New Westminster",49.227045,-122.894487
"324","Metro Van - New Westminster",49.227045,-122.894487
"325","Metro Van - New Westminster",49.227045,-122.894487
"326","Metro Van - New Westminster",49.227045,-122.894487
"327","Metro Van - New Westminster",49.227045,-122.894487
"328","Metro Van - New Westminster",49.227045,-122.894487
"329","Metro Van - New Westminster",49.227045,-122.894487
"330","Metro Van - New Westminster",49.227045,-122.894487
"331","Metro Van - New Westminster",49.227045,-122.894487
"332","Metro Van - New Westminster",49.227045,-122.894487
"333","Metro Van - New Westminster",49.227045,-122.894487
"334","Metro Van - New Westminster",49.227045,-122.894487
"335","Metro Van - New Westminster",49.227045,-122.894487
"336","Metro Van - New Westminster",49.227045,-122.894487
"337","Metro Van - New Westminster",49.227045,-122.894487
"338","Metro Van - New Westminster",49.227045,-122.894487
"339","Metro Van - New Westminster",49.227045,-122.894487
"340","Metro Van - New Westminster",49.227045,-122.894487
"341","Metro Van - New Westminster",49.227045,-122.894487
"342","Metro Van - New Westminster",49.227045,-122.894487
"343","Metro Van - New Westminster",49.227045,-122.894487
"344","Metro Van - New Westminster",49.227045,-122.894487
"345","Metro Van - New Westminster",49.227045,-122.894487
"346","Metro Van - New Westminster",49.227045,-122.894487
"347","Metro Van - New Westminster",49.227045,-122.894487
"348","Metro Van - New Westminster",49.227045,-122.894487
"349","Metro Van - New Westminster",49.227045,-122.894487
"350","Metro Van - New Westminster",49.227045,-122.894487
"351","Metro Van - Burnaby",49.279214,-122.970707
"352","Metro Van - Burnaby",49.279214,-122.970707
"353","Metro Van - Burnaby",49.279214,-122.970707
"354","Metro Van - Burnaby",49.279214,-122.970707
"355","Metro Van - Burnaby",49.279214,-122.970707
"356","Metro Van - Burnaby",49.279214,-122.970707
"357","Metro Van - Burnaby",49.279214,-122.970707
"358","Metro Van - Burnaby",49.279214,-122.970707
